suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
MOUNT CLEAR,4,0,2,0,0,0,0,0
VIEWBANK,5,0,6,1,0,0,0,26
DEVON NORTH,2,0,1,0,0,0,0,0
SAN REMO,3,0,6,0,0,0,0,0
BEAUMARIS,12,1,5,1,1,0,0,59
SANDRINGHAM,12,1,5,2,1,0,0,45
GLENROY,18,1,12,1,1,0,0,89
SUNSHINE NORTH,11,0,4,1,1,0,0,44
SUNSHINE WEST,17,0,8,1,0,0,0,87
ECHUCA,15,3,5,2,1,0,0,0
BERWICK,32,2,18,3,1,0,0,210
OFFICER,12,0,0,0,0,0,0,18
MARYBOROUGH,14,2,16,1,1,0,0,0
COLAC,14,1,4,3,1,0,0,0
MOE,14,1,5,1,1,0,0,0
NEWBOROUGH,10,1,5,2,0,0,0,0
VERMONT SOUTH,11,1,2,0,0,0,0,51
WARRNAMBOOL,34,3,23,6,1,0,0,0
PRESTON,33,4,4,3,2,0,0,207
RICHMOND,19,2,6,2,1,0,0,59
FRANKSTON SOUTH,12,0,9,0,0,0,0,62
WILLIAMSTOWN,9,14,19,2,1,0,0,61
BENTLEIGH EAST,18,1,3,4,1,0,0,141
MOUNT WAVERLEY,26,2,5,2,1,0,0,123
SALE,24,3,20,0,1,0,0,0
POINT COOK,21,1,6,3,0,0,0,121
WENDOUREE,16,2,6,0,0,0,0,0
TRARALGON,28,1,0,1,1,0,0,0
RESERVOIR,33,1,9,2,1,0,0,317
HAWKESDALE,2,0,0,1,0,0,0,0
HORSHAM,13,1,7,3,1,1,0,0
IRYMPLE,8,2,7,0,0,0,0,0
PORT MELBOURNE,8,5,9,0,1,0,0,103
GREENVALE,10,0,3,1,0,0,0,66
FITZROY NORTH,12,2,1,2,0,0,0,70
CLYDE,3,0,0,0,0,0,0,11
NERRINA,3,0,1,0,0,0,0,0
FRASER RISE,1,0,6,0,0,0,0,9
WARRAGUL,15,1,12,2,1,0,0,0
CREEK JUNCTION,2,0,0,0,0,0,0,0
MORNINGTON,19,2,62,1,1,0,0,106
TATURA,5,1,0,1,1,0,0,0
CORIO,24,2,24,1,0,0,0,0
FRANKSTON,36,3,24,4,1,0,0,217
ALTONA NORTH,13,2,16,1,1,0,0,108
MORTLAKE,6,1,0,1,1,0,0,0
MURRAYVILLE,3,1,1,1,1,1,0,0
MILDURA,26,7,41,3,1,0,0,0
MANSFIELD,5,2,1,1,1,0,0,0
SWAN HILL,16,2,10,2,1,0,0,0
HARROW,3,0,3,0,1,0,0,0
LANGWARRIN,15,0,6,1,0,0,0,83
ST KILDA EAST,13,0,1,0,0,0,0,28
CANTERBURY,11,1,9,1,0,0,0,21
DRYSDALE,9,1,2,0,1,0,0,0
BELL POST HILL,7,0,6,0,0,0,0,0
BENDIGO,15,2,6,3,1,0,1,0
COBRAM,10,1,6,1,1,0,0,0
MARIBYRNONG,6,2,9,1,0,0,0,81
OAK PARK,6,0,3,0,0,0,0,21
OAKLEIGH EAST,4,0,0,0,0,0,0,36
HUGHESDALE,6,0,0,1,0,0,0,38
ARMSTRONG CREEK,3,0,0,0,0,0,0,0
WINDSOR,9,1,0,0,0,0,0,22
