suburb,livable,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
MELBOURNE,31.6,20.0,14.0,23.0,3.0,2.0,0.0,0.0,184.0,54.0,127.0,3.0
MORNINGTON,28.599999999999998,19.0,2.0,62.0,1.0,1.0,0.0,0.0,106.0,106.0,0.0,0.0
FRANKSTON,27.15,36.0,3.0,24.0,4.0,1.0,0.0,0.0,217.0,215.0,0.0,2.0
RESERVOIR,26.700000000000003,33.0,1.0,9.0,2.0,1.0,0.0,0.0,317.0,302.0,11.0,4.0
WODONGA,25.8,19.0,1.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BERWICK,23.65,32.0,2.0,18.0,3.0,1.0,0.0,0.0,210.0,209.0,0.0,1.0
WERRIBEE,23.550000000000004,27.0,1.0,18.0,4.0,1.0,0.0,0.0,229.0,227.0,0.0,2.0
PRESTON,22.249999999999996,33.0,4.0,4.0,3.0,2.0,0.0,0.0,207.0,165.0,40.0,2.0
COBURG,21.75,23.0,2.0,22.0,4.0,1.0,0.0,0.0,143.0,105.0,36.0,2.0
KEW,21.6,25.0,3.0,21.0,6.0,1.0,0.0,0.0,115.0,68.0,47.0,0.0
SUNBURY,21.150000000000002,23.0,2.0,14.0,1.0,1.0,0.0,0.0,228.0,227.0,0.0,1.0
CROYDON,20.799999999999997,25.0,2.0,24.0,1.0,1.0,0.0,0.0,153.0,152.0,0.0,1.0
MILDURA,20.3,26.0,7.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMBERWELL,19.7,11.0,2.0,14.0,5.0,1.0,0.0,0.0,145.0,58.0,82.0,5.0
MOUNT MARTHA,18.25,7.0,1.0,42.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0
DANDENONG,17.45,15.0,3.0,16.0,4.0,1.0,0.0,0.0,156.0,155.0,0.0,1.0
RINGWOOD,17.15,19.0,3.0,20.0,1.0,1.0,0.0,0.0,121.0,119.0,0.0,2.0
FOOTSCRAY,16.85,24.0,2.0,14.0,2.0,1.0,0.0,0.0,117.0,99.0,15.0,3.0
BRUNSWICK,16.4,12.0,1.0,19.0,4.0,2.0,0.0,0.0,108.0,76.0,29.0,3.0
FERNTREE GULLY,16.05,21.0,3.0,11.0,4.0,1.0,0.0,0.0,134.0,133.0,0.0,1.0
TARNEIT,16.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,0.0
WARRNAMBOOL,15.9,34.0,3.0,23.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDEAVOUR HILLS,15.700000000000001,24.0,1.0,13.0,2.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0
HAWTHORN,15.5,13.0,1.0,18.0,2.0,1.0,0.0,0.0,78.0,22.0,53.0,3.0
WILLIAMSTOWN,15.350000000000001,9.0,14.0,19.0,2.0,1.0,0.0,0.0,61.0,59.0,0.0,2.0
ROWVILLE,15.2,21.0,0.0,11.0,2.0,0.0,0.0,0.0,146.0,146.0,0.0,0.0
BUNDOORA,14.85,20.0,3.0,7.0,1.0,0.0,0.0,0.0,129.0,105.0,24.0,0.0
HOPPERS CROSSING,14.8,25.0,0.0,3.0,2.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0
CRAIGIEBURN,14.6,22.0,0.0,6.0,1.0,0.0,0.0,0.0,163.0,162.0,0.0,1.0
EPPING,14.400000000000002,23.0,0.0,3.0,2.0,1.0,0.0,0.0,166.0,164.0,0.0,2.0
ST KILDA,14.3,10.0,5.0,8.0,2.0,1.0,0.0,0.0,97.0,36.0,61.0,0.0
GLEN IRIS,14.15,13.0,1.0,20.0,0.0,0.0,0.0,0.0,77.0,49.0,25.0,3.0
BRIGHTON,14.050000000000002,22.0,4.0,6.0,3.0,1.0,0.0,0.0,115.0,111.0,0.0,4.0
MOUNT WAVERLEY,14.05,26.0,2.0,5.0,2.0,1.0,0.0,0.0,123.0,121.0,0.0,2.0
PAKENHAM,13.8,26.0,1.0,3.0,1.0,1.0,0.0,0.0,140.0,138.0,0.0,2.0
CHELTENHAM,13.700000000000003,16.0,3.0,5.0,5.0,1.0,0.0,0.0,138.0,136.0,0.0,2.0
GREENSBOROUGH,13.5,22.0,1.0,11.0,1.0,1.0,0.0,0.0,103.0,102.0,0.0,1.0
NORTHCOTE,13.349999999999998,11.0,1.0,12.0,0.0,1.0,0.0,0.0,108.0,73.0,30.0,5.0
ROSEBUD,13.15,8.0,2.0,19.0,0.0,1.0,0.0,0.0,103.0,103.0,0.0,0.0
SEAFORD,13.05,15.0,1.0,16.0,1.0,1.0,0.0,0.0,91.0,89.0,0.0,2.0
BORONIA,12.95,21.0,2.0,5.0,3.0,1.0,0.0,0.0,118.0,117.0,0.0,1.0
BALWYN NORTH,12.9,15.0,1.0,11.0,1.0,0.0,0.0,0.0,109.0,96.0,13.0,0.0
CORIO,12.8,24.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTLEIGH EAST,12.75,18.0,1.0,3.0,4.0,1.0,0.0,0.0,141.0,141.0,0.0,0.0
ESSENDON,12.650000000000002,19.0,1.0,5.0,2.0,1.0,0.0,0.0,109.0,87.0,19.0,3.0
DONCASTER EAST,12.499999999999998,18.0,2.0,4.0,3.0,1.0,0.0,0.0,128.0,128.0,0.0,0.0
GLENROY,12.399999999999999,18.0,1.0,12.0,1.0,1.0,0.0,0.0,89.0,86.0,0.0,3.0
RICHMOND,12.3,19.0,2.0,6.0,2.0,1.0,0.0,0.0,59.0,6.0,50.0,3.0
KEYSBOROUGH,12.0,18.0,1.0,10.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0
NEWPORT,11.850000000000001,12.0,2.0,19.0,0.0,1.0,0.0,0.0,59.0,57.0,0.0,2.0
SALE,11.8,24.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YARRAVILLE,11.7,11.0,3.0,14.0,0.0,1.0,0.0,0.0,85.0,84.0,0.0,1.0
BROADMEADOWS,11.4,23.0,2.0,4.0,2.0,1.0,0.0,0.0,89.0,88.0,0.0,1.0
SHEPPARTON,11.4,34.0,1.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NOBLE PARK,11.25,18.0,1.0,10.0,2.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
ALTONA,11.2,10.0,2.0,17.0,1.0,0.0,0.0,0.0,64.0,62.0,0.0,2.0
NEWTOWN,11.0,16.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLSIDE,10.9,10.0,0.0,21.0,2.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0
SOUTH YARRA,10.8,12.0,2.0,4.0,2.0,1.0,0.0,0.0,79.0,36.0,41.0,2.0
MELTON,10.75,7.0,1.0,19.0,2.0,1.0,0.0,0.0,57.0,57.0,0.0,0.0
SUNSHINE,10.7,11.0,1.0,12.0,0.0,0.0,0.0,0.0,91.0,90.0,0.0,1.0
MILL PARK,10.55,14.0,0.0,0.0,2.0,0.0,0.0,0.0,147.0,147.0,0.0,0.0
SOMERVILLE,10.55,9.0,0.0,25.0,1.0,0.0,2.0,0.0,24.0,23.0,0.0,1.0
ELTHAM,10.500000000000002,12.0,1.0,14.0,4.0,1.0,0.0,0.0,53.0,52.0,0.0,1.0
MARIBYRNONG,10.2,6.0,2.0,9.0,1.0,0.0,0.0,0.0,81.0,52.0,29.0,0.0
SPRINGVALE,10.2,21.0,1.0,3.0,1.0,1.0,0.0,0.0,88.0,86.0,0.0,2.0
MULGRAVE,10.15,15.0,3.0,1.0,1.0,0.0,0.0,0.0,115.0,115.0,0.0,0.0
LILYDALE,9.899999999999999,14.0,2.0,2.0,1.0,1.0,0.0,0.0,111.0,110.0,0.0,1.0
ALTONA MEADOWS,9.799999999999999,8.0,0.0,18.0,2.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0
CARLTON,9.600000000000001,11.0,2.0,9.0,2.0,2.0,0.0,0.0,55.0,40.0,15.0,0.0
