suburb,livable,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
MORNINGTON,24.5,2.0,62.0,1.0,1.0,0.0,0.0,106.0,106.0,0.0,0.0
WODONGA,22.1,1.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANKSTON,19.75,3.0,24.0,4.0,1.0,0.0,0.0,217.0,215.0,0.0,2.0
RESERVOIR,19.550000000000004,1.0,9.0,2.0,1.0,0.0,0.0,317.0,302.0,11.0,4.0
MELBOURNE,18.75,14.0,23.0,3.0,2.0,0.0,0.0,184.0,54.0,127.0,3.0
WERRIBEE,18.349999999999998,1.0,18.0,4.0,1.0,0.0,0.0,229.0,227.0,0.0,2.0
BERWICK,17.15,2.0,18.0,3.0,1.0,0.0,0.0,210.0,209.0,0.0,1.0
MOUNT MARTHA,16.65,1.0,42.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0
SUNBURY,16.25,2.0,14.0,1.0,1.0,0.0,0.0,228.0,227.0,0.0,1.0
CROYDON,15.5,2.0,24.0,1.0,1.0,0.0,0.0,153.0,152.0,0.0,1.0
COBURG,15.35,2.0,22.0,4.0,1.0,0.0,0.0,143.0,105.0,36.0,2.0
KEW,14.25,3.0,21.0,6.0,1.0,0.0,0.0,115.0,68.0,47.0,0.0
DANDENONG,14.25,3.0,16.0,4.0,1.0,0.0,0.0,156.0,155.0,0.0,1.0
MILDURA,13.999999999999998,7.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMBERWELL,13.5,2.0,14.0,5.0,1.0,0.0,0.0,145.0,58.0,82.0,5.0
TARNEIT,13.4,0.0,20.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,0.0
PRESTON,13.149999999999999,4.0,4.0,3.0,2.0,0.0,0.0,207.0,165.0,40.0,2.0
RINGWOOD,12.85,3.0,20.0,1.0,1.0,0.0,0.0,121.0,119.0,0.0,2.0
BRUNSWICK,12.75,1.0,19.0,4.0,2.0,0.0,0.0,108.0,76.0,29.0,3.0
FERNTREE GULLY,11.649999999999999,3.0,11.0,4.0,1.0,0.0,0.0,134.0,133.0,0.0,1.0
ROWVILLE,11.2,0.0,11.0,2.0,0.0,0.0,0.0,146.0,146.0,0.0,0.0
ROSEBUD,11.15,2.0,19.0,0.0,1.0,0.0,0.0,103.0,103.0,0.0,0.0
