ID,Cemetery Fileno,Cemetery Name,Cemetery Trust,Address,Suburb,Postcode,Phone,Email,Fax,LGA,Region,Latitude,Longitude,Comments
1,CEM0001,ABERFELDY,Aberfeldy Cemetery Trust,Cemetery Road,ABERFELDY,3825,5174 9071,,,SHIRE OF BAW BAW,Gippsland,-37.692042,146.358386,
2,CEM0637,ADASS ISRAEL,Adass Israel Cemetery Trust,Princes Highway,SPRINGVALE,3171,,ekohn@aick.org.au,,CITY OF GREATER DANDENONG,Southern Metropolitan,-37.943149,145.171319,
3,CEM0003,ALBERTON,Alberton Cemetery Trust,Port Alberton Road,ALBERTON,3971,,andym3971@gmail.com,,SHIRE OF WELLINGTON,Gippsland,-38.634741,146.666934,
4,CEM0004,ALEXANDRA,Alexandra Cemetery Trust,McKenzie Street,ALEXANDRA,3714,5772 1722,,,SHIRE OF MURRINDINDI,Hume,-37.189412,145.700568,
5,CEM0006,ALMA,Alma Cemetery Trust,Alan - Lead Road,ALMA,3465,,mail@cgoldshire.vic.gov.au,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-37.031335,143.680994,
6,CEM0355,ALTONA MEMORIAL PARK,Greater Metropolitan Cemeteries Trust,Corner Grieve Parade and Doherty's Road,ALTONA NORTH,3025,1300 022 298,,,CITY OF HOBSONS BAY,North and West Metropolitan,-37.82868,144.821941,
7,CEM0008,AMPHITHEATRE (GLENLOGIE),Amphitheatre Cemetery Trust,Pyreness Highway,AMPHITHEATRE,3468,,treevale@outlook.com,,SHIRE OF PYRENEES,Grampians,-37.186331,143.387622,
8,CEM0009,ANTWERP,Antwerp Cemetery Trust,Jeparit Road,ANTWERP,3414,0428 975 247,,,SHIRE OF HINDMARSH,Grampians,-36.305741,142.018539,
9,CEM0296,APOLLO BAY,Apollo Bay Cemetery Trust,Great Ocean Road,APOLLO BAY,3233,0429 005 864,,,SHIRE OF COLAC-OTWAY,Barwon-South Western,-38.779909,143.6596,
10,CEM0010,APSLEY,Apsley Cemetery Trust,Splat and Goroke Street,APSLEY,3319,5586 1358,,,SHIRE OF WEST WIMMERA,Grampians,-36.958938,141.083757,
11,CEM0011,ARARAT,Ararat Cemetery Trust,Nott Road,ARARAT,3377,0408 428 881,,,RURAL CITY OF ARARAT,Grampians,-37.268797,142.945812,
12,CEM0013,ARTHURS CREEK,Arthurs Creek Cemetery Trust,Arthurs Creek Road,ARTHURS CREEK,3099,0409 436 197,,,SHIRE OF NILLUMBIK,North and West Metropolitan,-37.577739,145.172249,
13,CEM0014,ASHENS,Ashens Cemetery Trust,Murtoa and Glenorchy Roads,ASHENS,3390,,sueish02@gmail.com,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-36.788444,142.536656,
14,CEM0015,AVENEL,Avenel Cemetery Trust,Cnr Queens and Ewings Street,AVENEL,3664,0418 360 507,,,SHIRE OF STRATHBOGIE,Hume,-36.895628,145.230843,
15,CEM0016,AVOCA,Avoca Cemetery Trust,Sunraysia Highway,AVOCA,3467,0421 161 030,,,SHIRE OF PYRENEES,Grampians,-37.069154,143.465332,
16,CEM0017,AXEDALE,Remembrance Parks Central Victoria,Cemetery Road,AXEDALE,3551,1300 266 561,,,CITY OF GREATER BENDIGO,Loddon Mallee,,,
17,CEM0019,BAIRNSDALE,Bairnsdale Cemetery Trust,Goverment (off Forge Creek road) Road,BAIRNSDALE,3875,0467 388 066,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.848729,147.608976,
18,CEM0020,BALLAN NEW,Ballan (New) Cemetery Trust,Lay Street,BALLAN,3342,0427 776 165,,,SHIRE OF MOORABOOL,Grampians,-37.598521,144.23871,
19,CEM0021,BALLANGEICH,Ballangeich Cemetery Trust,Ballangeich Cemetery Lane,BALLANGEICH,3279,0439 687 057,,,SHIRE OF MOYNE,Barwon-South Western,-38.185407,142.683556,
20,CEM0022,BALLARAT,Ballarat General Cemeteries Trust,Doveton Street North & Lydiard North Street,BALLARAT,3350,5332 1469,,,CITY OF BALLARAT,Grampians,-37.533336,143.866173,
21,CEM0023,BALMORAL,Balmoral Cemetery Trust,Cemetery Road,BALMORAL,3407,5570 1196,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.275749,141.830618,"also called ""Yarramyljup (Balmoral) Cemetery"""
22,CEM0024,BAMBRA,Bambra Cemetery Trust,Cemetery and Boonah Roads,BAMBRA,3241,0429 383 284,,,SURF COAST SHIRE,Barwon-South Western,-38.391079,143.91487,"Also called ""Deans Marsh"""
23,CEM0650,BANNERTON (Tol Tol),Bannerton Cemetery Trust,Cemetery Road,BANNERTON,3549,5026 0224,,,RURAL CITY OF SWAN HILL,Loddon Mallee,-34.710238,142.787725,
24,CEM0025,BANNOCKBURN,Bannockburn Cemetery Trust,Charlton Road,BANNOCKBURN,3331,0409 432 783,,,SHIRE OF GOLDEN PLAINS,Grampians,-38.05665,144.177897,
25,CEM0026,BARINGHUP,Baringhup Cemetery Trust,Cemetery (between Baringhup Rd & Watersons Rd) Road,BARINGHUP,3463,0439 552 296,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-36.98355,143.98342,
26,CEM0027,BARKLY,Barkly Cemetery Trust,352 Barkly-Landsborough Road,BARKLY,3381,0418 171 440,,,SHIRE OF PYRENEES,Grampians,-36.946618,143.200172,
27,CEM0029,BARMAH,Barmah Cemetery Trust,Barmah Road,BARMAH,3639,0401 088 624,,,SHIRE OF MOIRA,Hume,-36.009256,144.974016,
28,CEM0030,BARNAWARTHA,Barnawartha Cemetery Trust,Cemetery and Eckhoffs Roads,BARNAWARTHA,3688,0419 566 618,,,SHIRE OF INDIGO,Hume,-36.111558,146.667092,
29,CEM0210-02,BARRABOOL HILLS,Geelong Cemeteries Trust,Barrabool Road,HIGHTON,3216,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.168319,144.31119,
30,CEM0031,BEALIBA,Bealiba Cemetery Trust,Government Road,BEALIBA,3475,,hornehill@gmail.com,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-36.791471,143.559842,
31,CEM0032,BEAUFORT,Beaufort Cemetery Trust,South Street,BEAUFORT,3373,0409 592 011,,,SHIRE OF PYRENEES,Grampians,-37.436265,143.38728,
32,CEM0430,BEEAC,Geelong Cemeteries Trust,South Cundare Road,BEEAC,3251,5249 3939,,,SHIRE OF COLAC-OTWAY,Barwon-South Western,-38.167012,143.619342,
33,CEM0034,BEECHWORTH,Beechworth Cemetery Trust,Cemetery and Balaclava Roads,BEECHWORTH,3747,0434 134 372,,,SHIRE OF INDIGO,Hume,-36.345217,146.691731,
